,area_type,availability,location,size,society,total_sqft,bath,balcony,price
2364,Super built-up  Area,Ready To Move,Puppalaguda,2 BHK,Krtiqa ,1100,2.0,1.0,60.0
2365,Super built-up  Area,Ready To Move,Gachibowli,3 BHK,Mauner ,1408,3.0,3.0,62.0
2369,Super built-up  Area,Ready To Move,Bachupally,3 BHK,Prtanha,2072,4.0,2.0,150.0
2370,Super built-up  Area,Ready To Move,Nizampet,2 BHK,Maens G,1420,2.0,1.0,158.0
2377,Super built-up  Area,18-May,Kukatpally,2 BHK,SStusan,1063,2.0,1.0,31.9
2383,Super built-up  Area,Ready To Move,Miyapur,3 BHK,MenueNo,1430,2.0,2.0,56.0
2386,Super built-up  Area,Ready To Move,Manikonda,3 BHK,Saitya ,1760,3.0,2.0,145.0
2387,Super built-up  Area,Ready To Move,Puppalaguda,3 BHK,Suent V,2010,3.0,3.0,92.0
2388,Super built-up  Area,Ready To Move,Aushapur,3 BHK,Wiowsri,1480,2.0,2.0,64.23
2392,Super built-up  Area,Ready To Move,Miyapur,4 BHK,Meentan,4850,6.0,2.0,385.0
2393,Super built-up  Area,Ready To Move,Nizampet,2 BHK,GRe 2iv,1100,2.0,1.0,52.0
2394,Super built-up  Area,Ready To Move,Boduppal,3 BHK,SosicCl,1752.12,3.0,2.0,116.0
2396,Super built-up  Area,20-Jan,East Marredpally,1 BHK,Soresea,645 - 936,1.0,0.0,41.9
2397,Built-up  Area,Ready To Move,Suchitra,3 BHK,PlhtsHe,1942,3.0,2.0,102.0
2398,Built-up  Area,Ready To Move,Old Alwal,2 BHK,Swhtsna,1000,2.0,2.0,53.0
2399,Super built-up  Area,Ready To Move,Secunderabad Railway Station Road,1 BHK,IBityin,668,1.0,1.0,36.85
2403,Super built-up  Area,Ready To Move,KPHB,3 BHK,R ra  R,1800,3.0,3.0,90.0
2405,Super built-up  Area,Ready To Move,Balapur,2 BHK,Pyikad ,1036,2.0,3.0,39.35
2406,Super built-up  Area,Ready To Move,Karmanghat,3 BHK,PueraRi,1583,3.0,3.0,105.0
2408,Super built-up  Area,Ready To Move,new nallakunta,2 BHK,Bhise P,1100,2.0,2.0,65.0
2410,Super built-up  Area,Ready To Move,Hitech City,2 BHK,Prlla C,1246,2.0,1.0,65.0
2411,Super built-up  Area,Ready To Move,Yapral,2 BHK,SaisePa,850,2.0,3.0,28.0
2412,Super built-up  Area,Ready To Move,Yapral,2 BHK,GrrvaGr,1196,2.0,2.0,51.51
2413,Super built-up  Area,Ready To Move,Kokapet,3 BHK,Soitya ,1697,3.0,2.0,114.0
2417,Plot  Area,Ready To Move,Puppalaguda,4 Bedroom,Co IIla,3750,6.0,3.0,290.0
2419,Super built-up  Area,Ready To Move,Puppalaguda,2 BHK,Vidil D,1022,2.0,2.0,52.0
2420,Super built-up  Area,Ready To Move,Puppalaguda,2 BHK,PaigeMa,1018,2.0,0.0,23.45
2422,Super built-up  Area,Ready To Move,Puppalaguda,2 BHK,FoapeWa,1322,2.0,2.0,68.0
2423,Plot  Area,Ready To Move,Puppalaguda,4 Bedroom,AreraRe,1800,4.0,2.0,145.0
2426,Built-up  Area,Ready To Move,Puppalaguda,3 BHK,Sancybr,2400,3.0,1.0,260.0
2427,Super built-up  Area,Ready To Move,Hitech City,3 BHK,Lallere,1635,2.0,2.0,85.0
2428,Super built-up  Area,Ready To Move,Hitech City,4 BHK,PhestOn,3526,4.0,1.0,558.0
2430,Built-up  Area,Ready To Move,Miyapur,3 BHK,PeBayle,2770,3.0,1.0,460.0
2431,Super built-up  Area,Ready To Move,chandrayangutta,4 BHK,BrontLa,2710 - 3360,5.0,0.0,200.0
2432,Super built-up  Area,Ready To Move,Jubilee Hills,3 BHK,ArnzaFi,1533,3.0,2.0,85.0
2433,Super built-up  Area,Ready To Move,Kollur Road,3 BHK,Hiows C,1720,3.0,1.0,134.0
2435,Super built-up  Area,18-Aug,Kompally,2 BHK,Aroomba,1185,2.0,2.0,75.84
2437,Built-up  Area,Ready To Move,Kukatpally,1 BHK,Jae 1hu,395,1.0,1.0,10.25
2438,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,Brods W,1031,2.0,1.0,56.35
2440,Super built-up  Area,Ready To Move,Nizampet,4 BHK,G conTh,2650,4.0,2.0,240.0
2442,Super built-up  Area,Ready To Move,Chandanagar,3 BHK,SLnssPr,1330,2.0,2.0,46.55
2443,Super built-up  Area,Ready To Move,Miyapur,2 BHK,Exitym ,1259,2.0,2.0,57.0
2444,Built-up  Area,Ready To Move,Miyapur,3 BHK,GRvanun,1570,3.0,2.0,88.0
2445,Built-up  Area,Ready To Move,Manikonda,3 BHK,Prityel,1075,2.0,1.0,36.0
2446,Super built-up  Area,18-May,Chandanagar,2 BHK,Prtates,1216,2.0,1.0,79.0
2447,Super built-up  Area,Ready To Move,Madhapur,3 BHK,Srisei ,1428,2.0,2.0,66.0
2450,Super built-up  Area,Ready To Move,Beeramguda,3 BHK,SastyDy,1475,3.0,2.0,70.0
2453,Super built-up  Area,19-Mar,Beeramguda,3 BHK,Puachal,1804,3.0,2.0,102.0
2456,Super built-up  Area,Ready To Move,Kollur Road,2 BHK,Dhalsh ,1260,2.0,2.0,46.62
2458,Built-up  Area,Ready To Move,Nallagandla Gachibowli,3 BHK,Asadacy,2160,3.0,2.0,160.0
2462,Super built-up  Area,Ready To Move,Kondapur,2 BHK,Chara N,1300,2.0,3.0,65.0
2463,Super built-up  Area,Ready To Move,Kondapur,1 BHK,EGdiaAr,605,1.0,1.0,29.0
2465,Super built-up  Area,18-Apr,Kondapur,2 BHK,Rosha I,1444,2.0,1.0,75.97
2470,Super built-up  Area,Ready To Move,Masab Tank,2 BHK,Prityel,845,2.0,1.0,29.0
2471,Super built-up  Area,21-Dec,Himayat Nagar,2 BHK,PrarePa,700,2.0,1.0,35.0
2473,Super built-up  Area,Ready To Move,Pragathi Nagar Kukatpally,3 BHK,Saconp ,1625,3.0,2.0,55.0
2475,Super built-up  Area,Ready To Move,Janachaitanya Colony,2 BHK,ElaleSp,1452.55,2.0,3.0,110.0
2478,Super built-up  Area,Ready To Move,Gachibowli,2 BHK,PrityTr,1139,2.0,2.0,56.85
2480,Super built-up  Area,Ready To Move,Gachibowli,3 BHK,PuandHi,1660,3.0,3.0,75.0
2481,Super built-up  Area,Ready To Move,Nanakramguda,2 BHK,Rakulai,1170,2.0,3.0,105.0
2482,Super built-up  Area,Ready To Move,Kondapur,2 BHK,Srhts P,1448,2.0,2.0,68.0
2483,Super built-up  Area,18-May,Kondapur,3 BHK,Alestrb,1762,3.0,3.0,110.0
2484,Super built-up  Area,Ready To Move,Bachupally,2 BHK,SLireap,1105,2.0,1.0,38.65
2485,Super built-up  Area,18-Mar,Manikonda,3 BHK,Miitat ,1825,3.0,1.0,105.0
2486,Super built-up  Area,19-Dec,Nanakramguda,1 RK,Rosha I,296,1.0,0.0,22.89
2488,Super built-up  Area,Ready To Move,Madhapur,2 BHK,MenueNo,1185,2.0,2.0,43.0
2489,Built-up  Area,18-Aug,Nallagandla Gachibowli,3 BHK,Sryalan,1320,2.0,1.0,38.12
2490,Super built-up  Area,Ready To Move,Bagh Amberpet,2 BHK,Suelsa ,1058,2.0,1.0,48.0
2493,Super built-up  Area,18-May,Nallakunta,2 BHK,Brglede,1200,2.0,1.0,72.0
2497,Super built-up  Area,Ready To Move,Nacharam,3 BHK,SNity S,1550,3.0,2.0,78.0
2501,Super built-up  Area,19-Dec,Nacharam,4 BHK,Puarero,2503,4.0,0.0,188.0
2502,Super built-up  Area,Ready To Move,Nacharam,4 BHK,Prionad,2524,5.0,2.0,190.0
2507,Super built-up  Area,Ready To Move,Habsiguda,2 BHK,Vaniai ,1045,2.0,2.0,76.77
2508,Super built-up  Area,Ready To Move,Habsiguda,3 BHK,SPavenc,1290,2.0,3.0,45.15
2509,Super built-up  Area,Ready To Move,Nacharam,2 BHK,SMaxyay,1400,2.0,1.0,78.0
2513,Super built-up  Area,Ready To Move,Nacharam,3 BHK,Mades G,1680,3.0,1.0,112.0
